Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
HIST,3EME,expert,TC,5.50782485,4.403172015,5.144326636,5.216755561,3.5,0.0,4.5,0.028690185,,,19,ALE3A
HIST,3EME,expert,TC,5.153317808,4.91352246,4.147552664,4.982230516,4.0,0.0,1.0,0.142389292,,,45,ALI3C
HIST,3EME,expert,TC,5.209855347,4.858940026,4.697377571,5.08665875,3.0,0.0,2.0,0.040146938,,,33,ANAEL3A
HIST,3EME,expert,TC,5.577591745,4.270306091,4.996023254,5.070859476,2.0,0.5,1.5,0.040367954,,,45,Anna3B
HIST,3EME,expert,TC,4.678682233,3.832572775,3.942057684,4.191786248,1.0,0.0,1.0,0.228545309,,,45,CHLOE23
HIST,3EME,expert,TC,4.978833067,4.481471294,4.555251686,4.820956383,1.0,0.0,1.0,0.05569014,,,39,EMM23A
HIST,3EME,expert,TC,4.917203446,3.880041462,4.16121822,4.344028572,2.5,0.0,1.0,0.275957227,,,49,FAT23C
HIST,3EME,expert,TC,5.646339018,4.841340697,5.199511092,5.357378289,3.0,0.0,3.0,0.012633361,,,49,LIS3B
HIST,3EME,expert,TC,5.445337162,4.827272322,4.810669282,5.120080134,4.5,0.5,1.5,0.061857264,,,44,LUC3A
HIST,3EME,expert,TC,4.664970862,3.966282562,4.00479411,4.286995074,1.0,0.0,1.0,0.197804371,,,41,MAE23A
HIST,3EME,expert,TC,5.341083188,4.620916459,4.854433578,5.054214577,2.5,0.5,1.5,0.05592763,,,40,MAR3B
HIST,3EME,expert,TC,5.519642953,3.969672126,5.168605013,5.195240796,2.0,0.0,2.5,0.027130324,,,42,MAT3B
HIST,3EME,expert,TC,4.821847473,3.676327734,3.825101412,4.058084225,1.0,0.0,1.0,0.0,,,37,MATT3B
HIST,3EME,expert,TC,4.867137369,4.100887255,4.003180391,4.355805784,2.5,0.0,1.5,0.397081451,,,39,MEL3B
HIST,3EME,expert,TC,5.568642837,4.633710785,5.236363408,5.333154959,2.5,0.5,2.0,0.023211146,,,42,NICO3A
HIST,3EME,expert,TC,4.91970031,3.794139356,3.913283902,4.158814647,1.0,0.0,2.0,0.244200244,,,46,NICO3B
HIST,3EME,expert,TC,5.013296575,4.106275911,4.609759772,4.728256359,3.5,0.0,2.5,0.098242684,,,47,ROM3B
HIST,3EME,expert,TC,5.053191806,4.184748198,4.305534079,4.550356787,2.5,0.0,1.0,0.197936512,,,43,SAC3B
HIST,3EME,expert,TC,5.536763548,4.762843549,5.287369459,5.400933251,4.0,0.5,3.0,0.020639089,,,47,STE3A
HIST,3EME,expert,TC,5.509782315,4.936357891,5.216010109,5.399344848,5.5,1.0,4.0,0.024324834,,,44,TOM3A
HIST,4EME,novice,TC,5.487431107,4.839107073,5.072479671,5.272313964,7.0,1.0,3.0,0.008462922,,,40,ADA24A
HIST,4EME,novice,TC,5.821397242,5.156196182,5.59838337,5.732322578,10.0,2.0,6.5,0.010085017,,,43,APOL4A
HIST,4EME,novice,TC,5.260724724,4.018221845,4.639112795,4.732321371,1.0,0.0,1.5,0.022955524,,,39,ARI4B
HIST,4EME,novice,TC,5.042666063,3.606058749,3.95206559,4.113676012,1.0,0.0,1.0,0.223338917,,,40,armatru
HIST,4EME,novice,TC,5.332791812,4.190485775,5.197381192,5.238151526,3.0,0.5,2.0,0.025390941,,,33,armel4c
HIST,4EME,novice,TC,5.501872973,4.571038826,5.274829562,5.35321106,4.0,0.0,2.0,0.005310928,,,44,BENJI4C
HIST,4EME,novice,TC,5.606292132,5.062181346,5.284787048,5.488623328,10.0,2.0,5.5,0.02076218,,,40,BOC4C
HIST,4EME,novice,TC,5.741159481,4.092281919,5.489651976,5.50670725,2.0,0.0,2.0,0.006477061,,,39,CAM4A
HIST,4EME,novice,TC,5.606466818,4.613170313,5.338673587,5.413543672,5.0,0.5,2.5,0.013754591,,,41,celine4
HIST,4EME,novice,TC,5.166502638,4.451548506,4.808403425,4.966671952,2.5,0.0,2.0,0.015545209,,,44,Elsaa4a
HIST,4EME,novice,TC,4.678190486,3.497344381,3.801335096,3.976441689,1.0,0.0,1.0,0.316005688,,,38,emilie2
HIST,4EME,novice,TC,5.341012886,4.789880244,5.014535239,5.217605003,6.5,0.0,6.0,0.03868341,,,39,EMMA24C
HIST,4EME,novice,TC,5.246651197,4.667480971,4.844101121,5.065738392,4.0,0.0,2.5,0.057274179,,,45,JULIEN4
HIST,4EME,novice,TC,5.672451156,5.048435977,4.975932452,5.314725474,7.0,1.0,2.0,0.042279276,,,43,LAHCUPE
HIST,4EME,novice,TC,5.618400099,4.939985744,5.228706977,5.40894004,6.0,0.5,3.5,0.017717983,,,38,LOU4C
HIST,4EME,novice,TC,5.207301721,3.860427851,4.722255395,4.778191059,1.5,0.0,1.5,0.056867726,,,41,nina4b
HIST,4EME,novice,TC,5.394582125,4.973531929,5.046112598,5.312366737,3.5,0.5,2.5,0.017985288,,,35,SAM4C
HIST,4EME,novice,TC,5.596576755,5.216003507,5.025389848,5.432101438,9.5,3.5,3.0,0.009432138,,,45,VIRG4C
HIST,3EME,expert,TC,5.50782485,4.403172015,5.144326636,5.216755561,3.5,0.0,4.5,0.028690185,,,19,ALE3A
HIST,3EME,expert,TC,5.153317808,4.91352246,4.147552664,4.982230516,4.0,0.0,1.0,0.142389292,,,45,ALI3C
HIST,3EME,expert,TC,5.209855347,4.858940026,4.697377571,5.08665875,3.0,0.0,2.0,0.040146938,,,33,ANAEL3A
HIST,3EME,expert,TC,5.577591745,4.270306091,4.996023254,5.070859476,2.0,0.5,1.5,0.040367954,,,45,Anna3B
HIST,3EME,expert,TC,4.678682233,3.832572775,3.942057684,4.191786248,1.0,0.0,1.0,0.228545309,,,45,CHLOE23
HIST,3EME,expert,TC,4.978833067,4.481471294,4.555251686,4.820956383,1.0,0.0,1.0,0.05569014,,,39,EMM23A
HIST,3EME,expert,TC,4.917203446,3.880041462,4.16121822,4.344028572,2.5,0.0,1.0,0.275957227,,,49,FAT23C
HIST,3EME,expert,TC,5.646339018,4.841340697,5.199511092,5.357378289,3.0,0.0,3.0,0.012633361,,,49,LIS3B
HIST,3EME,expert,TC,5.445337162,4.827272322,4.810669282,5.120080134,4.5,0.5,1.5,0.061857264,,,44,LUC3A
HIST,3EME,expert,TC,4.664970862,3.966282562,4.00479411,4.286995074,1.0,0.0,1.0,0.197804371,,,41,MAE23A
HIST,3EME,expert,TC,5.341083188,4.620916459,4.854433578,5.054214577,2.5,0.5,1.5,0.05592763,,,40,MAR3B
HIST,3EME,expert,TC,5.519642953,3.969672126,5.168605013,5.195240796,2.0,0.0,2.5,0.027130324,,,42,MAT3B
HIST,3EME,expert,TC,4.821847473,3.676327734,3.825101412,4.058084225,1.0,0.0,1.0,0.0,,,37,MATT3B
HIST,3EME,expert,TC,4.867137369,4.100887255,4.003180391,4.355805784,2.5,0.0,1.5,0.397081451,,,39,MEL3B
HIST,3EME,expert,TC,5.568642837,4.633710785,5.236363408,5.333154959,2.5,0.5,2.0,0.023211146,,,42,NICO3A
HIST,3EME,expert,TC,4.91970031,3.794139356,3.913283902,4.158814647,1.0,0.0,2.0,0.244200244,,,46,NICO3B
HIST,3EME,expert,TC,5.013296575,4.106275911,4.609759772,4.728256359,3.5,0.0,2.5,0.098242684,,,47,ROM3B
HIST,3EME,expert,TC,5.053191806,4.184748198,4.305534079,4.550356787,2.5,0.0,1.0,0.197936512,,,43,SAC3B
HIST,3EME,expert,TC,5.536763548,4.762843549,5.287369459,5.400933251,4.0,0.5,3.0,0.020639089,,,47,STE3A
HIST,3EME,expert,TC,5.509782315,4.936357891,5.216010109,5.399344848,5.5,1.0,4.0,0.024324834,,,44,TOM3A
HIST,4EME,novice,TC,5.487431107,4.839107073,5.072479671,5.272313964,7.0,1.0,3.0,0.008462922,,,40,ADA24A
HIST,4EME,novice,TC,5.821397242,5.156196182,5.59838337,5.732322578,10.0,2.0,6.5,0.010085017,,,43,APOL4A
HIST,4EME,novice,TC,5.260724724,4.018221845,4.639112795,4.732321371,1.0,0.0,1.5,0.022955524,,,39,ARI4B
HIST,4EME,novice,TC,5.042666063,3.606058749,3.95206559,4.113676012,1.0,0.0,1.0,0.223338917,,,40,armatru
HIST,4EME,novice,TC,5.332791812,4.190485775,5.197381192,5.238151526,3.0,0.5,2.0,0.025390941,,,33,armel4c
HIST,4EME,novice,TC,5.501872973,4.571038826,5.274829562,5.35321106,4.0,0.0,2.0,0.005310928,,,44,BENJI4C
HIST,4EME,novice,TC,5.606292132,5.062181346,5.284787048,5.488623328,10.0,2.0,5.5,0.02076218,,,40,BOC4C
HIST,4EME,novice,TC,5.741159481,4.092281919,5.489651976,5.50670725,2.0,0.0,2.0,0.006477061,,,39,CAM4A
HIST,4EME,novice,TC,5.606466818,4.613170313,5.338673587,5.413543672,5.0,0.5,2.5,0.013754591,,,41,celine4
HIST,4EME,novice,TC,5.166502638,4.451548506,4.808403425,4.966671952,2.5,0.0,2.0,0.015545209,,,44,Elsaa4a
HIST,4EME,novice,TC,4.678190486,3.497344381,3.801335096,3.976441689,1.0,0.0,1.0,0.316005688,,,38,emilie2
HIST,4EME,novice,TC,5.341012886,4.789880244,5.014535239,5.217605003,6.5,0.0,6.0,0.03868341,,,39,EMMA24C
HIST,4EME,novice,TC,5.246651197,4.667480971,4.844101121,5.065738392,4.0,0.0,2.5,0.057274179,,,45,JULIEN4
HIST,4EME,novice,TC,5.672451156,5.048435977,4.975932452,5.314725474,7.0,1.0,2.0,0.042279276,,,43,LAHCUPE
HIST,4EME,novice,TC,5.618400099,4.939985744,5.228706977,5.40894004,6.0,0.5,3.5,0.017717983,,,38,LOU4C
HIST,4EME,novice,TC,5.207301721,3.860427851,4.722255395,4.778191059,1.5,0.0,1.5,0.056867726,,,41,nina4b
HIST,4EME,novice,TC,5.394582125,4.973531929,5.046112598,5.312366737,3.5,0.5,2.5,0.017985288,,,35,SAM4C
HIST,4EME,novice,TC,5.596576755,5.216003507,5.025389848,5.432101438,9.5,3.5,3.0,0.009432138,,,45,VIRG4C
HIST,3EME,expert,TR,5.73000906,4.684288677,5.577614143,5.629862518,4.5,0.5,4.5,0.005289515,,,19,ALE3A
HIST,3EME,expert,TR,5.482362558,4.948992128,4.880175969,5.216975654,4.5,1.5,2.0,0.026354454,,,45,ALI3C
HIST,3EME,expert,TR,5.588317656,5.236057106,5.076421967,5.464563315,7.0,3.5,3.0,0.03354579,,,33,ANAEL3A
HIST,3EME,expert,TR,5.714284483,5.039743186,4.628547291,5.182124931,7.0,3.0,3.5,0.047041667,,,45,Anna3B
HIST,3EME,expert,TR,5.372056373,4.366759055,5.166433074,5.230369719,2.5,0.5,1.5,0.013633172,,,45,CHLOE23
HIST,3EME,expert,TR,5.415877743,4.746859849,5.087167152,5.250556613,2.5,0.5,1.5,0.032725993,,,39,EMM23A
HIST,3EME,expert,TR,5.495259108,4.88420609,4.648213595,5.083075999,2.0,0.0,1.5,0.044958975,,,49,FAT23C
HIST,3EME,expert,TR,5.521121732,4.455461577,4.977741891,5.091823416,3.5,1.0,1.5,0.021051745,,,49,LIS3B
HIST,3EME,expert,TR,6.110426567,5.601491236,5.848812083,6.043554229,10.5,5.0,5.5,0.005665626,,,44,LUC3A
HIST,3EME,expert,TR,5.290291771,4.727813622,4.954039791,5.156523408,3.5,1.0,2.5,0.022232597,,,41,MAE23A
HIST,3EME,expert,TR,5.511242806,3.95017006,4.74868408,4.812779707,2.0,0.0,1.0,0.035673516,,,40,MAR3B
HIST,3EME,expert,TR,5.307245658,3.490800952,4.923536732,4.939282073,1.0,0.0,1.0,0.0,,,42,MAT3B
HIST,3EME,expert,TR,5.435853122,4.727451786,4.687738478,5.009078909,2.0,0.5,1.5,0.041047954,,,37,MATT3B
HIST,3EME,expert,TR,5.61280663,3.895477796,4.934447949,4.972438904,1.0,0.0,2.0,0.023258518,,,39,MEL3B
HIST,3EME,expert,TR,5.635233855,4.892953989,4.990381039,5.245423826,2.5,0.5,2.0,0.020447912,,,42,NICO3A
HIST,3EME,expert,TR,5.469724105,4.683299252,5.174764637,5.296161512,4.0,0.5,4.5,0.013374124,,,46,NICO3B
HIST,3EME,expert,TR,5.490055447,4.96381143,4.832751539,5.204236684,3.0,1.0,2.0,0.029395338,,,47,ROM3B
HIST,3EME,expert,TR,5.197214375,4.417255738,4.473618333,4.74738073,2.0,0.0,2.0,0.067206559,,,43,SAC3B
HIST,3EME,expert,TR,5.500992126,4.631037697,5.195204779,5.299962492,3.5,0.0,2.5,0.0,,,47,STE3A
HIST,3EME,expert,TR,5.603107007,4.36240707,5.284873827,5.333915576,1.5,0.5,4.0,0.020758031,,,44,TOM3A
HIST,4EME,novice,TR,5.649407884,4.319116474,5.224719482,5.275593497,1.5,0.0,1.5,0.01192094,,,40,ADA24A
HIST,4EME,novice,TR,6.112462727,5.368054331,5.744720807,5.897034067,9.5,3.5,6.0,0.007200111,,,43,APOL4A
HIST,4EME,novice,TR,5.531780264,4.915486896,5.253123471,5.4173521,4.0,1.5,4.0,0.011166229,,,39,ARI4B
HIST,4EME,novice,TR,5.765698351,4.909962322,5.378707611,5.505755532,3.0,0.0,2.0,0.0,,,40,armatru
HIST,4EME,novice,TR,5.548754146,5.201055564,4.893040112,5.374830799,6.5,2.5,3.5,0.025585263,,,33,armel4c
HIST,4EME,novice,TR,5.871661362,5.441744609,5.465883786,5.755011886,7.0,1.5,5.0,0.006841419,,,44,BENJI4C
HIST,4EME,novice,TR,5.994705072,5.339182036,5.648191628,5.821639279,8.0,2.0,4.0,0.002248062,,,40,BOC4C
HIST,4EME,novice,TR,5.784866103,4.898747115,5.038640029,5.27533209,3.0,1.0,3.0,0.018297425,,,39,CAM4A
HIST,4EME,novice,TR,5.711327554,5.069917726,4.43807537,5.161032418,2.5,0.5,1.5,0.07293813,,,41,celine4
HIST,4EME,novice,TR,5.37560418,4.457851631,4.839540893,4.990374378,2.0,0.0,1.5,0.0,,,44,Elsaa4a
HIST,4EME,novice,TR,4.785984343,3.616528025,3.556121507,3.888404168,1.0,0.0,1.0,0.555787134,,,38,emilie2
HIST,4EME,novice,TR,5.562782211,5.238456355,5.025230062,5.445829853,6.5,2.5,4.0,0.018871218,,,39,EMMA24C
HIST,4EME,novice,TR,5.357858648,4.260476858,4.834722634,4.937339825,1.5,0.0,1.0,0.029262226,,,45,JULIEN4
HIST,4EME,novice,TR,5.720702865,4.602927713,4.381322698,4.807139112,1.5,0.0,1.5,0.0,,,43,LAHCUPE
HIST,4EME,novice,TR,5.894036229,5.243729887,5.38148421,5.619076105,8.0,3.0,7.0,0.0,,,38,LOU4C
HIST,4EME,novice,TR,5.675163114,4.863019343,5.113368367,5.307018694,3.0,1.0,3.0,0.015404997,,,41,nina4b
HIST,4EME,novice,TR,5.743486638,5.073643213,5.518286863,5.65157552,11.0,5.0,6.0,0.006063776,,,35,SAM4C
